POSTI;NAME_FI;POSTI_1;BIN;DIS45;BARREN;FOREST;TEMPSUM;AKATP;AKATOSA;ALK_SLQ;TEOL_SLQ;TEOLLAG;NUORET;HERFIND;TYOTIH;TEOLP;PALVP;MAAS;DIS5000;ELEV;VAKILAG;VM0394;MOKKITIH;LSAREA;RETKITIH;LOG;DIS456;DIS20;DIS10;DIS6;TYOP;P;WATER;PALV_LAG;TEOLSLQ;ALK_LAG;PALV_SLQ;AKAT_LAG;TYOVOSA;TYOTMOSA;TYOTOMP;OPISKP;ELAKELP;TAVARAL;TAVELAT;TOIMIOSA;TYOPOSA;TYOTTOMAST;ASK_MTULOT;TAKVELAT;TAVARALL;ALINTL_P;YRITTAJ_P
74345;Kalliosuo;74345;0.000;135.470;5.788;48.502;2.911;3.000;0.000;0.515;0.033;1.098;9.000;0.779;2.550;0.231;0.385;0.385;131.136;155.206;0.757;-35.140;3.474;0.000;0.000;0.000;135.470;49.000;174.940;73.900;166.000;0.006;2.034;0.547;0.033;2.376;1.381;4.607;0.024;0.037;24.000;12.000;58.000;16.000;18.000;0.049;0.084;24;11350;18;16;37;3
74360;Sonkakoski;74360;0.000;115.080;3.477;50.453;3.022;4.000;0.000;7.451;0.000;1.858;8.000;0.506;0.440;0.207;0.172;0.621;113.294;127.552;1.539;-20.370;1.815;0.000;0.000;0.000;115.080;29.170;165.930;53.570;43.000;0.196;4.686;1.020;0.000;4.084;0.363;5.331;0.038;0.035;14.000;22.000;44.000;71.000;36.000;0.078;0.022;14;11215;36;71;26;8
74420;Hernej?rvi;74420;0.000;92.510;2.285;50.038;3.106;3.000;0.000;7.815;0.264;6.822;8.000;0.551;0.820;0.333;0.121;0.546;87.229;124.843;5.457;-2.350;0.746;0.000;0.000;0.000;92.510;25.100;143.360;31.620;41.000;0.209;4.910;5.895;0.264;5.787;0.266;8.268;0.057;0.070;19.000;11.000;51.000;80.000;53.000;0.088;0.021;19;12588;53;80;19;5
74470;Paloinen;74470;0.000;84.710;1.208;58.579;3.084;2.000;0.000;6.252;0.000;0.906;8.000;0.398;0.630;0.217;0.200;0.583;82.504;137.245;1.511;-12.680;0.565;0.000;0.000;0.000;84.710;47.140;135.560;43.920;41.000;0.260;11.185;0.980;0.000;3.488;0.571;4.468;0.034;0.042;19.000;14.000;48.000;54.000;45.000;0.078;0.021;19;9461;45;54;33;6
74490;Koirakoski;74490;0.000;105.930;7.592;65.003;3.023;2.000;0.000;8.010;0.000;0.467;4.000;0.587;0.090;0.214;0.143;0.643;99.665;143.230;1.064;-27.500;1.608;0.031;0.000;0.000;105.930;45.040;131.480;53.980;24.000;0.068;9.569;0.662;0.000;2.533;0.390;4.344;0.024;0.045;29.000;11.000;68.000;61.000;23.000;0.039;0.012;29;8927;23;61;33;5
74510;Peltosalmi-Sourunsalo;74510;0.000;81.600;0.919;35.783;3.158;7.000;0.000;0.404;4.051;6.896;12.000;0.573;16.820;0.691;0.195;0.114;79.351;94.921;5.754;-12.070;1.737;0.000;0.000;0.000;81.600;7.860;132.450;20.040;555.000;0.631;18.924;6.004;4.051;6.612;0.242;8.175;0.226;0.306;21.000;19.000;38.000;44.000;38.000;0.549;0.282;21;15906;38;44;23;5
74540;Kotikyl?;74540;0.000;86.310;1.267;58.453;3.108;7.000;0.000;9.224;0.246;6.671;8.000;0.752;0.690;0.349;0.070;0.581;83.202;130.687;6.058;-25.330;1.650;0.000;0.000;0.000;86.310;20.520;137.160;24.320;22.000;0.305;3.293;6.256;0.246;7.339;0.071;8.047;0.029;0.027;15.000;12.000;48.000;69.000;44.000;0.049;0.011;15;12232;44;69;23;4
74550;P÷rs?nm?ki;74550;0.000;75.990;1.531;65.774;3.110;2.000;0.000;7.379;0.197;6.375;10.000;0.495;0.470;0.320;0.107;0.573;75.963;155.981;5.872;-40.400;1.216;0.030;0.000;0.000;75.990;31.310;126.830;29.270;55.000;0.313;4.920;6.386;0.197;6.753;0.340;8.158;0.049;0.062;20.000;11.000;51.000;52.000;68.000;0.157;0.028;20;10508;68;52;34;6
74590;Kurenpolvi;74590;0.000;109.010;2.098;51.200;3.089;7.000;0.000;9.556;0.000;6.073;9.000;0.804;1.020;0.159;0.183;0.659;103.775;121.942;4.805;-21.430;0.836;0.019;0.000;0.000;109.010;22.470;159.860;26.560;57.000;0.149;9.453;5.143;0.000;6.519;0.109;8.139;0.060;0.055;14.000;12.000;55.000;66.000;51.000;0.098;0.029;14;11924;51;66;28;3
74595;Runni;74595;0.000;104.800;1.056;53.186;3.112;4.000;0.000;5.129;0.107;5.925;9.000;0.317;1.430;0.286;0.189;0.526;103.722;106.719;5.798;-9.440;1.103;0.000;0.000;0.000;104.800;24.770;155.640;22.840;152.000;0.078;15.925;5.989;0.107;8.125;0.770;7.719;0.122;0.157;20.000;13.000;51.000;57.000;47.000;0.196;0.077;20;11905;47;57;28;4
74610;Honkaranta;74610;0.000;114.000;1.796;55.821;3.084;6.000;0.000;9.207;0.000;5.829;7.000;0.762;0.580;0.271;0.188;0.542;111.637;119.058;5.904;-18.340;0.836;0.000;0.000;0.000;114.000;27.460;164.850;11.940;29.000;0.158;12.409;6.262;0.000;8.884;0.215;7.589;0.031;0.027;14.000;7.000;47.000;63.000;55.000;0.020;0.015;14;12463;55;63;27;5
74630;Hein?kyl?;74630;0.000;114.450;4.081;51.285;3.113;4.000;0.000;6.329;0.400;2.783;8.000;0.379;0.890;0.237;0.119;0.644;109.973;111.435;3.409;-9.520;1.127;0.000;0.065;0.000;114.450;34.870;157.500;14.450;54.000;0.108;4.246;2.770;0.400;6.292;0.404;7.240;0.052;0.062;19.000;8.000;51.000;64.000;40.000;0.069;0.027;19;11544;40;64;25;8
74640;Sulkavanj?rvi;74640;0.000;106.840;1.611;59.185;3.110;3.000;0.000;9.078;0.135;4.624;10.000;0.726;0.660;0.207;0.052;0.741;101.255;123.902;4.355;-10.170;0.685;0.162;0.000;0.000;106.840;35.170;152.100;22.050;40.000;0.057;7.279;4.771;0.135;5.283;0.039;8.418;0.037;0.045;19.000;16.000;46.000;74.000;46.000;0.049;0.020;19;11574;46;74;28;6
74670;Rapakkojoki;74670;0.000;122.250;0.422;48.755;3.082;4.000;0.000;8.277;0.405;1.046;9.000;0.609;0.740;0.222;0.111;0.667;113.993;114.252;1.990;-30.820;0.545;0.000;0.000;0.000;122.250;43.880;162.940;11.430;40.000;0.136;9.576;1.329;0.405;5.326;0.156;5.251;0.037;0.015;6.000;18.000;45.000;70.000;61.000;0.059;0.020;6;13636;61;70;28;5
74680;Myllyniemi;74680;0.000;115.130;1.451;60.319;3.091;4.000;0.000;6.652;0.095;0.952;7.000;0.415;0.810;0.139;0.139;0.722;109.641;132.184;1.930;-10.080;0.966;0.060;0.009;0.000;115.130;54.180;155.820;21.730;114.000;0.085;5.650;1.313;0.095;5.180;0.397;5.139;0.065;0.042;10.000;9.000;51.000;84.000;79.000;0.225;0.058;10;10855;79;84;28;7
74700;Kiuruvesi Keskus;74700;0.000;124.310;4.209;61.717;3.009;6.000;1.000;1.976;0.743;1.037;9.000;0.123;3.520;0.350;0.271;0.379;121.003;141.440;1.879;-10.010;2.033;0.702;0.000;0.000;124.310;37.770;172.040;0.100;2384.000;0.516;5.591;1.336;0.743;4.833;0.965;5.005;1.156;1.337;18.000;11.000;55.000;43.000;39.000;3.781;1.210;18;11768;39;43;37;8
74720;Niemiskyl?;74720;0.000;129.250;4.159;45.383;3.066;3.000;0.000;7.209;0.135;1.043;12.000;0.493;0.910;0.259;0.190;0.552;130.583;114.428;1.930;-27.330;0.936;5.158;0.000;0.000;129.250;42.710;179.330;8.380;40.000;0.076;7.613;1.319;0.135;5.109;0.429;5.109;0.037;0.025;11.000;19.000;48.000;67.000;77.000;0.039;0.020;11;12272;77;67;24;6
74740;Aittoj?rvi;74740;0.000;134.420;2.705;62.446;3.002;2.000;0.000;7.901;0.370;1.024;7.000;0.566;0.530;0.231;0.115;0.654;132.898;129.875;1.603;-3.690;2.206;0.124;0.000;0.000;134.420;47.880;179.640;13.550;73.000;0.008;0.708;1.232;0.370;3.726;0.214;5.268;0.063;0.060;15.000;12.000;47.000;63.000;59.000;0.118;0.037;15;10721;59;63;27;6
74840;Koppeloharju;74840;1.000;121.700;5.147;57.405;3.025;3.000;0.000;4.272;1.457;4.152;7.000;0.255;0.970;0.250;0.100;0.650;119.252;139.897;3.885;-20.590;5.900;7.694;0.000;1.000;121.700;35.160;172.550;18.020;115.000;0.118;4.097;3.140;1.457;7.615;0.393;6.939;0.045;0.032;11.000;11.000;50.000;72.000;99.000;0.196;0.058;11;11904;99;72;20;11
74940;Remeskyl?-Tihil?nkangas;74940;0.000;139.220;2.516;49.930;3.011;1.000;0.000;7.700;0.126;1.004;7.000;0.537;1.080;0.143;0.102;0.755;137.330;130.923;1.586;-10.820;3.727;0.000;0.000;0.000;139.220;52.680;189.310;18.360;43.000;0.001;11.291;1.249;0.126;3.629;0.327;5.100;0.034;0.037;17.000;8.000;42.000;56.000;112.000;0.108;0.022;17;10962;112;56;21;13
75500;Nurmes Keskus;75500;0.000;128.490;2.863;65.193;2.952;5.000;0.000;1.894;0.845;1.260;9.000;0.107;2.140;0.362;0.344;0.294;130.181;158.737;2.009;-13.630;1.888;0.076;0.006;0.000;128.490;106.780;54.060;2.900;1432.000;0.176;6.575;1.829;0.845;3.422;0.963;5.814;0.774;1.001;20.000;14.000;51.000;40.000;30.000;2.243;0.727;20;11754;30;40;36;8
75530;Porokyl?;75530;1.000;125.000;0.967;56.646;3.013;7.000;0.000;0.889;0.525;1.079;9.000;0.114;11.800;0.443;0.446;0.111;126.447;118.810;1.667;-10.490;0.319;0.000;0.000;1.000;125.000;101.260;59.640;2.680;1369.000;0.281;32.167;1.516;0.525;2.739;1.127;5.762;0.532;0.577;17.000;12.000;59.000;38.000;24.000;1.979;0.695;17;12693;24;38;36;8
75650;Savikyl?;75650;0.000;119.640;2.422;59.503;2.943;3.000;0.000;6.612;0.193;1.197;6.000;0.399;0.650;0.246;0.230;0.525;116.825;153.556;2.010;-23.350;2.000;0.000;0.006;0.000;119.640;91.990;73.900;16.950;84.000;0.076;2.085;1.836;0.193;3.379;0.427;5.751;0.091;0.119;20.000;13.000;56.000;49.000;35.000;0.176;0.043;20;10997;35;49;31;7
75680;Yl?-Luosta;75680;0.000;96.740;5.222;68.249;2.970;0.000;0.000;3.338;0.000;0.025;6.000;0.179;0.140;0.087;0.217;0.696;94.794;171.954;0.361;-9.500;5.067;0.466;0.000;0.000;96.740;69.080;94.190;37.230;32.000;0.080;3.261;0.101;0.000;1.285;0.878;2.278;0.025;0.037;23.000;15.000;52.000;45.000;77.000;0.069;0.016;23;9832;77;45;36;13
75700;Valtimo Keskus;75700;0.000;141.180;3.213;62.018;2.933;6.000;0.000;1.942;0.612;0.823;8.000;0.124;2.100;0.218;0.436;0.346;138.899;168.890;1.421;-14.590;1.958;0.014;0.000;0.000;141.180;113.530;81.510;24.550;583.000;0.000;6.757;1.039;0.612;2.848;1.044;5.274;0.276;0.406;23.000;13.000;59.000;37.000;26.000;0.715;0.296;23;11130;26;37;39;8
75710;Karhunp??;75710;0.000;132.550;2.631;47.464;2.995;4.000;0.000;8.703;0.701;1.188;7.000;0.682;0.760;0.203;0.076;0.722;128.766;123.569;1.999;-17.110;1.145;1.116;0.000;0.000;132.550;104.890;74.480;17.520;54.000;0.011;5.883;1.822;0.701;3.466;0.087;5.752;0.057;0.065;17.000;16.000;48.000;60.000;34.000;0.098;0.027;17;9785;34;60;32;3
75740;Pajukoski;75740;0.000;128.550;1.984;66.017;2.943;3.000;0.000;7.832;0.000;1.188;3.000;0.564;0.190;0.080;0.320;0.600;127.183;167.253;1.999;-27.130;7.182;0.000;0.000;0.000;128.550;100.900;85.870;28.910;15.000;0.057;1.320;1.822;0.000;3.466;0.416;5.752;0.026;0.047;28.000;21.000;49.000;48.000;28.000;0.029;0.008;28;10919;28;48;38;3
75770;Puukari;75770;0.000;144.260;4.936;61.019;2.900;3.000;0.000;9.019;0.000;0.200;5.000;0.715;0.190;0.230;0.098;0.672;139.534;177.613;0.468;-21.770;4.880;0.000;0.000;0.000;144.260;109.080;93.600;36.640;45.000;0.000;2.397;0.320;0.000;1.188;0.069;5.297;0.040;0.057;22.000;13.000;56.000;48.000;50.000;0.108;0.023;22;10583;50;48;40;11
75840;Yl?-Valtimo;75840;0.000;142.740;1.738;53.089;2.944;2.000;0.000;7.366;0.000;0.823;4.000;0.510;0.490;0.205;0.103;0.692;139.709;156.813;1.421;-27.760;1.395;0.000;0.000;0.000;142.740;115.090;83.860;26.900;29.000;0.000;6.002;1.039;0.000;2.848;0.269;5.274;0.031;0.050;25.000;13.000;47.000;45.000;33.000;0.049;0.015;25;11484;33;45;33;6
75970;Kohtavaara;75970;0.000;136.630;1.826;60.254;3.033;8.000;0.000;6.408;0.811;1.079;5.000;0.410;0.160;0.259;0.259;0.482;140.404;102.073;1.816;-4.440;0.731;0.038;0.000;0.000;136.630;117.140;44.740;13.270;20.000;0.004;59.407;1.577;0.811;3.135;0.156;5.531;0.026;0.035;21.000;18.000;24.000;65.000;32.000;0.029;0.010;21;12439;32;65;22;7
75990;H÷lj?kk?;75990;0.000;130.230;2.275;60.709;3.021;4.000;0.000;3.770;2.437;1.076;2.000;0.328;0.390;0.273;0.182;0.546;137.217;120.785;1.795;-17.060;1.446;0.429;0.000;0.000;130.230;125.170;38.340;21.300;51.000;0.030;39.878;1.567;2.437;2.978;0.275;5.537;0.028;0.060;33.000;9.000;61.000;43.000;59.000;0.118;0.026;33;10394;59;43;37;10
76100;Pieks?m?ki Keskus;76100;0.000;79.350;3.052;71.767;3.273;8.000;1.000;0.170;0.989;4.111;10.000;0.120;14.650;0.550;0.377;0.073;85.955;132.077;4.607;-7.860;1.850;1.699;0.000;0.000;79.350;48.840;14.230;11.000;3574.000;0.221;10.355;4.936;0.989;4.241;1.150;7.488;0.991;1.155;18.000;14.000;58.000;42.000;28.000;4.300;1.814;18;14512;28;42;36;7
76120;Kotiopuisto;76120;0.000;75.470;9.817;35.063;3.293;7.000;0.000;0.053;0.215;3.365;10.000;0.221;67.170;0.541;0.401;0.058;95.771;125.401;3.670;-8.260;0.000;0.000;0.000;0.000;75.470;37.710;5.900;8.720;403.000;0.287;4.326;3.778;0.215;3.515;0.941;7.311;0.380;0.341;14.000;15.000;50.000;44.000;26.000;0.509;0.205;14;16425;26;44;22;8
76130;Pappilanm?ki;76130;1.000;79.370;4.758;44.335;3.292;9.000;0.000;0.331;0.084;3.356;12.000;0.363;43.000;0.522;0.429;0.050;90.546;123.492;3.634;-12.570;0.000;2.088;0.000;1.000;79.370;42.610;9.790;6.830;258.000;0.365;33.750;3.776;0.084;3.417;1.439;7.301;0.200;0.149;12.000;20.000;44.000;44.000;31.000;0.186;0.131;12;17607;31;44;20;6
76150;L?nsirinne;76150;1.000;77.940;2.192;55.603;3.289;8.000;1.000;0.068;0.542;3.359;11.000;0.145;19.540;0.553;0.422;0.025;93.238;135.368;3.687;-7.570;0.581;0.000;0.000;1.000;77.940;41.180;7.450;4.230;469.000;0.483;3.885;3.794;0.542;3.596;1.138;7.263;0.596;0.630;16.000;15.000;53.000;37.000;25.000;1.332;0.238;16;15666;25;37;32;7
76280;Partaharju;76280;1.000;71.500;4.150;73.870;3.319;7.000;0.000;5.731;0.330;4.811;12.000;0.338;1.220;0.477;0.182;0.341;84.293;126.508;4.889;0.000;1.763;3.702;0.000;1.000;71.500;38.840;26.820;25.590;82.000;0.168;8.010;5.039;0.330;4.431;0.552;7.388;0.036;0.025;11.000;14.000;36.000;75.000;38.000;0.098;0.042;11;15895;38;75;8;3
