POSTI;NAME_FI;POSTI_1;BIN;DIS45;BARREN;FOREST;TEMPSUM;AKATP;AKATOSA;ALK_SLQ;TEOL_SLQ;TEOLLAG;NUORET;HERFIND;TYOTIH;TEOLP;PALVP;MAAS;DIS5000;ELEV;VAKILAG;VM0394;MOKKITIH;LSAREA;RETKITIH;LOG;DIS456;DIS20;DIS10;DIS6;TYOP;P;WATER;PALV_LAG;TEOLSLQ;ALK_LAG;PALV_SLQ;AKAT_LAG;TYOVOSA;TYOTMOSA;TYOTOMP;OPISKP;ELAKELP;TAVARAL;TAVELAT;TOIMIOSA;TYOPOSA;TYOTTOMAST;ASK_MTULOT;TAKVELAT;TAVARALL;ALINTL_P;YRITTAJ_P
77430;Siikam?ki;77430;1.000;86.110;0.897;70.941;3.328;5.000;0.000;5.152;0.572;5.321;7.000;0.277;0.840;0.364;0.212;0.424;91.966;124.074;5.418;19.050;0.706;0.000;0.000;1.000;86.110;26.970;16.540;18.440;85.000;0.187;8.042;5.252;0.572;3.623;0.440;7.911;0.074;0.060;12.000;13.000;51.000;66.000;42.000;0.264;0.043;12;12517;42;66;24;13
77460;Maavesi;77460;0.000;90.700;0.903;64.759;3.371;5.000;0.000;7.164;0.330;8.850;8.000;0.469;0.580;0.291;0.173;0.536;87.389;107.395;6.750;-5.880;0.448;0.000;0.000;0.000;90.700;23.230;25.930;27.830;82.000;0.219;19.447;5.459;0.330;4.865;0.380;8.966;0.083;0.082;15.000;14.000;53.000;81.000;50.000;0.196;0.042;15;13852;50;81;19;7
77520;Haapakoski-Partaharju;77520;0.000;69.710;1.812;73.099;3.287;3.000;0.000;3.884;2.129;3.540;5.000;0.301;0.630;0.390;0.195;0.415;74.944;125.328;4.476;22.730;1.130;0.194;0.000;0.000;69.710;51.370;25.520;22.300;33.000;0.106;3.622;4.940;2.129;3.802;0.284;7.334;0.035;0.042;19.000;8.000;64.000;62.000;30.000;0.088;0.017;19;11538;30;62;38;4
77570;J?ppil? Keskus;77570;0.000;78.160;1.331;69.490;3.350;8.000;0.000;2.536;0.444;6.405;6.000;0.135;1.120;0.410;0.271;0.319;80.586;112.783;6.521;-8.380;0.537;1.603;0.000;0.000;78.160;26.140;22.280;24.180;219.000;0.299;21.983;6.690;0.444;4.952;0.912;8.135;0.139;0.114;13.000;10.000;57.000;57.000;39.000;0.402;0.111;13;12223;39;57;35;9
77580;Tihusniemi;77580;0.000;67.160;0.710;76.565;3.373;8.000;0.000;7.120;0.600;11.968;7.000;0.466;0.360;0.303;0.242;0.455;75.082;126.125;6.584;-18.000;0.856;0.912;0.000;0.000;67.160;19.120;21.010;34.480;27.000;0.414;15.464;6.127;0.600;3.726;0.173;9.299;0.036;0.030;13.000;13.000;55.000;61.000;36.000;0.098;0.014;13;13196;36;61;26;11
77600;Suonenjoki Keskus;77600;1.000;48.520;1.285;68.874;3.276;7.000;1.000;1.292;0.668;3.397;9.000;0.113;3.130;0.415;0.307;0.279;53.804;121.197;3.389;-9.950;0.863;0.871;0.000;1.000;48.520;64.190;45.640;2.440;2289.000;0.471;21.921;3.960;0.668;3.797;1.043;7.107;1.136;1.225;17.000;12.000;54.000;52.000;32.000;4.192;1.162;17;12976;32;52;34;8
77630;Lempyy;77630;1.000;36.450;1.794;73.943;3.317;3.000;0.000;1.456;0.737;2.582;12.000;0.163;0.210;0.571;0.265;0.163;39.536;122.482;6.292;-7.060;0.716;0.000;0.000;1.000;36.450;48.000;29.500;15.840;22.000;0.129;8.378;3.552;0.737;3.553;0.780;11.616;0.045;0.050;17.000;20.000;41.000;55.000;54.000;0.118;0.011;17;13895;54;55;19;11
77690;Suontee;77690;0.000;64.480;1.131;65.438;3.333;5.000;0.000;6.546;0.174;3.949;10.000;0.401;0.660;0.194;0.111;0.694;68.573;106.484;4.713;-26.700;0.746;0.103;0.000;0.000;64.480;47.800;32.690;18.570;31.000;0.081;26.383;5.016;0.174;3.770;0.453;7.293;0.028;0.020;11.000;13.000;57.000;106.000;50.000;0.127;0.016;11;12598;50;106;27;11
77700;Rautalampi Keskus;77700;0.000;66.580;1.700;64.083;3.248;6.000;0.000;1.954;0.592;1.507;8.000;0.127;2.640;0.331;0.284;0.385;71.963;112.538;2.024;-10.940;0.537;1.772;0.000;0.000;66.580;74.270;55.200;19.570;858.000;0.064;24.581;1.711;0.592;3.168;1.016;6.562;0.439;0.533;19.000;11.000;58.000;45.000;32.000;1.744;0.436;19;12113;32;45;34;9
77770;Myhinp??;77770;0.000;86.940;1.071;74.188;3.233;6.000;0.000;7.768;0.246;0.261;3.000;0.543;0.150;0.222;0.111;0.667;93.733;123.199;0.538;-31.180;0.525;1.586;0.000;0.000;86.940;80.290;43.080;34.880;22.000;0.189;19.499;0.448;0.246;1.069;0.284;6.280;0.019;0.012;10.000;6.000;77.000;74.000;26.000;0.049;0.011;10;9779;26;74;32;12
77800;Iisvesi;77800;1.000;50.320;1.339;67.407;3.266;3.000;0.000;0.537;4.182;1.762;9.000;0.607;3.210;0.630;0.270;0.100;55.758;106.244;2.587;-12.930;0.297;1.136;0.000;1.000;50.320;66.830;48.330;2.990;199.000;0.428;35.201;2.071;4.182;3.623;0.227;6.666;0.101;0.194;30.000;10.000;57.000;36.000;27.000;0.274;0.101;30;11598;27;36;39;7
77910;Vaajasalmi;77910;0.000;63.930;0.967;58.414;3.277;11.000;0.000;5.874;0.270;1.690;6.000;0.370;0.710;0.150;0.200;0.650;69.258;99.655;2.481;-8.470;0.231;0.000;0.000;0.000;63.930;80.440;61.940;16.600;20.000;0.060;47.026;2.045;0.270;3.569;0.390;6.835;0.016;0.005;5.000;11.000;50.000;73.000;39.000;0.049;0.010;5;11437;39;73;30;2
77930;Kerkonjoensuu;77930;0.000;77.200;1.534;60.922;3.193;3.000;0.000;7.375;0.129;0.969;8.000;0.495;0.530;0.185;0.185;0.631;82.424;106.234;1.707;-13.010;0.561;0.000;0.000;0.000;77.200;93.720;75.220;29.880;84.000;0.210;31.446;1.311;0.129;3.168;0.297;5.321;0.073;0.097;21.000;10.000;60.000;61.000;33.000;0.284;0.043;21;9701;33;61;35;6
78200;Varkaus Keskus;78200;1.000;76.850;0.984;73.865;3.434;7.000;1.000;0.020;1.900;13.557;13.000;0.177;56.740;0.623;0.349;0.028;89.962;103.266;7.094;0.920;0.461;0.044;0.000;1.000;76.850;16.130;31.650;58.910;3688.000;0.570;17.780;6.915;1.900;4.079;0.826;9.181;0.730;1.003;21.000;13.000;68.000;35.000;20.000;3.859;1.872;21;12804;20;35;45;5
78210;Kuoppakangas;78210;1.000;70.340;2.105;57.902;3.451;11.000;0.000;0.000;1.278;12.531;7.000;0.161;73.270;0.733;0.259;0.009;75.898;86.159;6.841;-9.390;0.882;1.743;0.000;1.000;70.340;1.200;23.790;46.610;1099.000;0.812;5.493;6.512;1.278;3.954;1.111;9.247;0.288;0.269;14.000;16.000;51.000;43.000;36.000;1.371;0.558;14;15650;36;43;24;8
78250;P?ivi÷nsaari;78250;0.000;75.430;0.572;48.067;3.470;16.000;0.000;0.102;2.031;12.467;16.000;0.218;297.170;0.626;0.342;0.032;80.116;79.740;6.666;-9.600;0.353;0.000;0.000;0.000;75.430;4.460;28.880;47.240;1783.000;0.808;50.830;6.404;2.031;3.829;0.923;9.287;0.228;0.177;12.000;16.000;56.000;35.000;31.000;1.136;0.905;12;18208;31;35;26;4
78300;Kommila;78300;1.000;72.060;0.018;17.698;3.470;11.000;1.000;0.166;2.930;12.456;10.000;0.417;347.800;0.741;0.230;0.029;77.316;82.911;6.604;-7.160;0.000;0.000;0.000;1.000;72.060;4.210;25.510;46.990;1739.000;0.774;32.117;6.392;2.930;3.450;0.677;9.333;0.449;0.503;17.000;13.000;54.000;29.000;26.000;0.627;0.883;17;16374;26;29;33;5
78310;Puurtila;78310;1.000;73.170;0.836;67.626;3.452;13.000;0.000;0.000;0.090;12.459;9.000;0.139;3.000;0.720;0.275;0.006;77.826;86.263;6.661;6.020;0.206;0.000;0.000;1.000;73.170;6.860;26.620;49.650;120.000;0.715;46.686;6.401;0.090;3.656;1.131;9.299;0.233;0.182;12.000;17.000;33.000;49.000;51.000;0.343;0.061;12;18919;51;49;15;9
78400;Luttila;78400;0.000;70.780;0.236;59.218;3.470;12.000;0.000;0.000;0.849;12.456;11.000;0.122;17.500;0.719;0.263;0.018;74.346;87.979;6.604;-3.310;0.400;0.000;0.000;0.000;70.780;6.500;24.240;49.850;140.000;0.684;18.270;6.392;0.849;3.450;1.092;9.333;0.290;0.229;12.000;15.000;31.000;42.000;45.000;0.392;0.071;12;18798;45;42;12;6
78480;Timola;78480;1.000;67.290;0.872;71.717;3.441;9.000;0.000;0.923;0.267;12.078;10.000;0.257;1.530;0.647;0.253;0.101;72.333;88.066;6.474;5.460;0.303;0.000;0.000;1.000;67.290;6.650;20.740;50.570;81.000;0.627;28.504;6.061;0.267;3.206;0.963;9.247;0.100;0.057;9.000;18.000;36.000;52.000;53.000;0.196;0.041;9;17405;53;52;11;9
78500;Pitk?l?nniemi-K÷n÷npelto;78500;1.000;78.280;0.345;59.917;3.460;10.000;0.000;0.083;0.841;12.459;9.000;0.123;17.130;0.705;0.271;0.024;83.033;98.062;6.642;-4.550;2.143;0.000;0.000;1.000;78.280;7.310;31.730;50.090;257.000;0.758;17.251;6.399;0.841;3.650;1.074;9.310;0.529;0.398;12.000;15.000;40.000;34.000;45.000;0.774;0.130;12;18618;45;34;12;7
78610;Kurola;78610;1.000;79.120;0.312;64.485;3.433;10.000;0.000;0.668;0.000;13.557;9.000;0.494;2.910;0.778;0.148;0.074;84.160;94.982;7.094;3.040;0.164;0.000;0.000;1.000;79.120;9.000;32.570;51.780;32.000;0.721;19.837;6.915;0.000;4.079;0.390;9.181;0.048;0.037;12.000;10.000;48.000;61.000;46.000;0.127;0.016;12;18139;46;61;13;9
78710;Akonlahti;78710;1.000;79.200;0.611;67.838;3.471;9.000;0.000;2.322;0.176;10.456;9.000;0.169;2.190;0.587;0.206;0.206;83.432;95.091;5.825;28.110;0.179;0.161;0.000;1.000;79.200;8.230;32.650;51.010;92.000;0.739;21.772;5.818;0.176;3.976;0.848;9.290;0.139;0.129;14.000;13.000;40.000;63.000;45.000;0.196;0.047;14;17776;45;63;13;9
78850;K?pykangas;78850;1.000;77.690;2.234;73.309;3.415;10.000;1.000;0.058;0.692;12.509;11.000;0.163;15.620;0.658;0.317;0.026;82.595;111.311;6.729;-8.030;4.273;8.576;0.000;1.000;77.690;7.640;31.140;37.770;734.000;0.825;4.730;6.403;0.692;4.052;1.190;9.308;0.630;0.607;15.000;16.000;39.000;35.000;37.000;1.146;0.373;15;16875;37;35;26;6
78870;Kaura-aho;78870;1.000;71.190;5.403;46.750;3.470;10.000;0.000;0.244;0.617;12.481;12.000;0.156;80.330;0.679;0.294;0.027;76.152;87.248;6.678;-10.640;0.000;11.718;0.000;1.000;71.190;2.110;24.640;45.130;482.000;0.818;4.886;6.411;0.617;3.672;0.838;9.289;0.540;0.475;14.000;20.000;36.000;38.000;36.000;0.931;0.245;14;18005;36;38;25;6
78880;Kuvansi;78880;1.000;76.350;3.458;61.027;3.470;9.000;0.000;0.817;1.268;10.889;9.000;0.140;3.500;0.620;0.283;0.098;81.734;82.269;5.677;-0.950;0.271;0.000;0.000;1.000;76.350;6.220;29.800;45.110;196.000;0.801;42.011;5.451;1.268;3.444;0.844;9.179;0.283;0.207;11.000;16.000;31.000;45.000;48.000;0.480;0.099;11;19873;48;45;12;8
78900;Ruokokoski;78900;1.000;72.570;1.939;72.781;3.387;7.000;0.000;1.335;3.124;12.498;7.000;0.383;2.210;0.667;0.204;0.130;77.616;109.076;6.667;-12.080;0.806;3.301;0.000;1.000;72.570;3.000;26.020;45.510;64.000;0.815;3.827;6.390;3.124;3.672;0.390;9.354;0.053;0.045;13.000;14.000;47.000;43.000;49.000;0.157;0.032;13;17147;49;43;14;14
79100;Lepp?virta Keskus;79100;1.000;52.860;0.275;69.663;3.411;10.000;1.000;0.705;1.496;11.891;10.000;0.151;13.320;0.587;0.288;0.126;56.878;100.123;5.932;-2.660;0.324;0.009;0.000;1.000;52.860;24.810;0.180;45.170;2092.000;0.378;22.413;5.813;1.496;2.679;0.899;9.429;1.006;0.849;13.000;13.000;52.000;51.000;39.000;3.007;1.062;13;14302;39;51;33;8
79130;Sorsakoski;79130;0.000;59.320;0.890;76.290;3.406;4.000;0.000;0.091;3.858;12.056;6.000;0.525;3.920;0.800;0.164;0.036;60.533;102.852;6.299;-3.850;0.469;0.004;0.000;0.000;59.320;17.480;13.170;43.500;353.000;0.436;20.954;5.957;3.858;3.347;0.402;9.340;0.188;0.234;19.000;10.000;55.000;32.000;31.000;0.362;0.179;19;13099;31;32;28;8
79140;Kotalahti;79140;1.000;42.470;0.851;74.974;3.371;9.000;0.000;4.559;0.066;3.466;10.000;0.320;0.570;0.382;0.184;0.434;57.494;109.503;3.537;-5.040;0.456;0.489;0.000;1.000;42.470;33.770;15.270;30.070;82.000;0.286;33.576;2.560;0.066;4.106;0.647;7.997;0.063;0.065;16.000;15.000;48.000;81.000;51.000;0.186;0.042;16;13329;51;81;20;7
79150;Konnuslahti-Valkeam?ki;79150;0.000;44.200;0.555;71.264;3.404;3.000;0.000;6.846;0.277;2.632;5.000;0.436;0.740;0.301;0.185;0.515;76.101;94.107;2.479;-7.740;0.510;0.024;0.000;0.000;44.200;42.640;20.360;63.000;78.000;0.264;21.453;1.454;0.277;2.772;0.380;8.173;0.071;0.035;8.000;11.000;55.000;78.000;45.000;0.206;0.040;8;13860;45;78;23;9
79255;Kurjala-Moninm?ki;79255;0.000;61.160;0.712;71.225;3.402;4.000;0.000;5.798;0.000;1.625;8.000;0.368;0.410;0.342;0.122;0.537;81.929;102.233;1.709;-4.950;0.603;1.151;0.000;0.000;61.160;48.330;27.050;69.690;35.000;0.135;29.422;1.118;0.000;2.202;0.401;8.599;0.024;0.030;19.000;13.000;38.000;80.000;25.000;0.059;0.018;19;10276;25;80;28;5
79265;Puponm?ki;79265;0.000;50.560;0.359;73.221;3.391;4.000;0.000;8.253;0.000;1.798;6.000;0.607;0.230;0.290;0.097;0.613;73.096;108.726;1.808;-10.640;1.155;2.307;0.000;0.000;50.560;51.640;29.360;71.620;22.000;0.194;27.027;1.259;0.000;2.707;0.213;7.964;0.018;0.017;15.000;19.000;51.000;115.000;24.000;0.039;0.011;15;10613;24;115;24;13
79330;N??d?nmaa;79330;0.000;75.760;0.997;70.299;3.411;6.000;0.000;8.455;0.225;6.298;3.000;0.644;0.280;0.177;0.118;0.706;89.841;96.964;3.121;-17.180;0.667;1.726;0.000;0.000;75.760;31.380;34.560;74.170;24.000;0.245;20.825;3.293;0.225;2.593;0.195;7.994;0.021;0.022;16.000;9.000;54.000;122.000;37.000;0.029;0.012;16;10806;37;122;37;4
79350;It?-Soisalo;79350;0.000;87.420;1.134;75.345;3.406;5.000;0.000;8.719;0.000;1.114;3.000;0.681;0.480;0.115;0.077;0.808;97.398;101.838;0.862;8.610;0.712;0.974;0.000;0.000;87.420;53.660;51.420;70.670;49.000;0.149;24.410;0.623;0.000;1.790;0.255;5.924;0.025;0.022;14.000;9.000;56.000;85.000;39.000;0.088;0.025;14;11477;39;85;29;13
79410;Niinim?ki;79410;1.000;73.620;0.895;74.080;3.426;2.000;0.000;8.392;0.000;11.908;5.000;0.629;0.270;0.189;0.135;0.676;86.578;107.838;5.705;50.360;0.757;0.000;0.000;1.000;73.620;22.540;32.430;65.330;28.000;0.395;14.388;5.920;0.000;2.886;0.167;9.372;0.028;0.017;10.000;18.000;43.000;68.000;47.000;0.098;0.014;10;9870;47;68;30;10
79480;Kangaslampi Keskus;79480;0.000;94.800;1.240;76.437;3.460;6.000;0.000;1.618;0.328;10.599;5.000;0.128;0.800;0.383;0.258;0.358;99.646;97.240;5.014;-12.430;0.550;0.430;0.000;0.000;94.800;26.400;48.430;69.180;198.000;0.130;22.521;5.380;0.328;2.685;1.190;9.227;0.122;0.107;14.000;9.000;55.000;67.000;31.000;0.343;0.101;14;12932;31;67;33;7
79520;Viljolahti;79520;0.000;109.890;1.495;68.619;3.494;5.000;0.000;7.794;0.146;1.427;3.000;0.547;0.340;0.211;0.211;0.579;118.144;85.309;1.324;-11.980;0.434;0.755;0.000;0.000;109.890;46.880;68.920;89.670;37.000;0.090;32.008;1.145;0.146;2.283;0.295;6.678;0.032;0.035;17.000;7.000;66.000;73.000;37.000;0.137;0.019;17;10776;37;73;35;12
79600;Joroinen Keskus;79600;1.000;72.510;4.374;58.374;3.440;8.000;0.000;1.888;1.065;10.508;9.000;0.127;5.070;0.431;0.290;0.279;93.604;88.527;5.865;-10.830;0.634;1.632;0.000;1.000;72.510;17.840;41.430;34.160;1086.000;0.528;25.360;5.785;1.065;4.952;0.876;9.103;0.466;0.418;14.000;12.000;57.000;51.000;32.000;1.528;0.551;14;12927;32;51;34;8
79620;Huutokoski;79620;1.000;80.810;0.844;54.961;3.397;5.000;0.000;6.675;0.000;10.958;11.000;0.300;1.270;0.250;0.135;0.615;91.558;99.983;5.751;-9.220;0.647;0.267;0.000;1.000;80.810;23.970;35.820;37.720;56.000;0.515;19.710;5.474;0.000;4.345;0.251;9.072;0.049;0.040;13.000;16.000;44.000;60.000;37.000;0.176;0.028;13;14277;37;60;25;8
79630;Kolma;79630;0.000;82.500;1.757;60.566;3.418;5.000;0.000;5.459;0.120;10.955;7.000;0.306;0.880;0.236;0.255;0.509;87.427;100.913;5.707;-15.610;3.188;0.242;0.000;0.000;82.500;18.810;36.630;38.530;45.000;0.593;2.344;5.462;0.120;4.317;0.624;9.128;0.047;0.037;12.000;13.000;50.000;72.000;41.000;0.157;0.023;12;13537;41;72;23;11
79660;Kerisalo;79660;0.000;74.910;2.590;54.577;3.424;5.000;0.000;7.903;0.108;7.983;5.000;0.566;1.720;0.286;0.102;0.612;105.307;87.840;4.984;-8.090;0.967;2.789;0.000;0.000;74.910;30.500;54.080;36.560;50.000;0.392;11.540;5.176;0.108;5.993;0.281;7.961;0.034;0.032;15.000;12.000;36.000;67.000;46.000;0.108;0.025;15;12450;46;67;21;8
79680;Lahnalahti;79680;0.000;63.590;1.378;68.722;3.355;3.000;0.000;8.010;0.368;3.883;9.000;0.587;0.690;0.186;0.070;0.744;108.671;112.117;3.159;-4.230;1.600;0.080;0.000;0.000;63.590;30.230;43.810;25.240;44.000;0.150;5.865;3.033;0.368;5.413;0.248;7.883;0.025;0.012;8.000;13.000;46.000;80.000;40.000;0.078;0.022;8;12585;40;80;31;9
79690;Kaitainen;79690;0.000;57.410;2.594;65.310;3.330;7.000;0.000;6.991;0.000;1.638;7.000;0.477;0.620;0.117;0.033;0.850;113.668;127.810;1.988;-12.930;0.978;0.000;0.000;0.000;57.410;36.740;47.900;19.060;55.000;0.120;8.413;1.632;0.000;5.039;0.511;6.217;0.037;0.027;11.000;13.000;52.000;113.000;52.000;0.108;0.028;11;11581;52;113;19;5
79700;Hein?vesi Keskus;79700;1.000;78.990;0.870;73.838;3.422;7.000;0.000;0.987;1.755;4.706;7.000;0.163;2.600;0.506;0.263;0.231;91.120;108.197;1.779;-10.090;0.666;1.569;0.002;1.000;78.990;50.710;52.080;71.650;1244.000;0.221;17.850;2.263;1.755;1.643;0.838;6.760;0.461;0.266;9.000;9.000;59.000;56.000;29.000;1.597;0.632;9;14065;29;56;32;9
79810;Karvion Kanava;79810;0.000;71.930;0.773;78.617;3.402;4.000;0.000;2.670;0.000;1.122;5.000;0.157;0.500;0.341;0.353;0.306;73.654;99.511;0.981;-37.610;0.704;0.019;0.000;0.000;71.930;51.870;55.050;55.170;56.000;0.179;28.538;0.650;0.000;1.925;1.003;5.648;0.040;0.027;10.000;9.000;55.000;68.000;41.000;0.274;0.028;10;14021;41;68;28;13
79860;Suuraho-Uusi-Valamo;79860;1.000;56.600;1.047;74.897;3.379;6.000;0.000;2.670;0.000;2.407;3.000;0.565;0.380;0.306;0.306;0.389;58.921;113.177;1.986;-10.840;1.355;0.201;0.000;1.000;56.600;69.640;42.370;39.850;48.000;0.196;24.915;1.234;0.000;2.424;1.138;6.214;0.025;0.030;18.000;4.000;74.000;49.000;25.000;0.029;0.024;18;9579;25;49;42;3
79895;Sarvikumpu;79895;0.000;54.550;0.748;77.355;3.388;2.000;0.000;6.965;0.000;0.272;5.000;0.520;0.250;0.250;0.167;0.583;58.412;119.060;1.211;-23.720;1.148;0.000;0.000;0.000;54.550;75.440;37.410;37.790;23.000;0.215;11.896;0.875;0.000;2.435;0.543;5.939;0.020;0.022;18.000;8.000;69.000;78.000;31.000;0.078;0.012;18;11743;31;78;33;8
79910;Kerma;79910;0.000;66.420;1.017;75.147;3.426;6.000;0.000;5.885;0.000;1.287;11.000;0.373;0.310;0.500;0.250;0.250;83.482;108.466;0.983;-20.350;0.720;2.207;0.006;0.000;66.420;63.290;39.500;59.070;49.000;0.127;16.021;0.715;0.000;1.730;0.605;5.594;0.054;0.045;13.000;14.000;50.000;83.000;40.000;0.118;0.025;13;13334;40;83;26;6
79940;Vihtari-Poikiinaho;79940;0.000;58.860;0.521;77.670;3.418;2.000;0.000;6.149;1.474;0.384;9.000;0.414;0.240;0.286;0.184;0.531;70.357;107.528;1.056;-22.540;1.600;0.000;0.000;0.000;58.860;73.650;31.940;51.510;33.000;0.115;14.256;0.907;1.474;2.056;0.142;5.456;0.032;0.025;12.000;11.000;71.000;69.000;29.000;0.118;0.017;12;10662;29;69;31;5
80100;Joensuu Keskus Pohjoinen;80100;1.000;0.900;0.346;25.026;3.363;17.000;3.000;0.092;0.998;16.106;26.000;0.109;1371.600;0.523;0.457;0.021;3.544;81.813;14.247;7.640;0.000;0.000;0.000;1.000;0.900;116.000;0.000;0.000;13716.000;0.951;3.916;16.488;0.998;5.201;1.147;14.200;1.502;1.384;14.000;26.000;52.000;49.000;30.000;12.616;6.963;14;13557;30;49;41;6
80110;Joensuu Keskus Etel?inen;80110;1.000;3.650;0.470;30.850;3.396;22.000;2.000;0.180;0.071;16.106;24.000;0.152;59.330;0.532;0.451;0.017;4.947;76.020;14.247;2.760;9.000;0.000;0.000;1.000;3.650;121.560;20.440;24.090;534.000;0.732;72.612;16.488;0.071;5.201;1.426;14.200;0.740;0.660;14.000;23.000;61.000;59.000;29.000;1.411;0.271;14;15061;29;59;37;6
80130;Kanervala;80130;1.000;2.950;0.405;28.953;3.370;24.000;1.000;0.034;1.056;16.106;17.000;0.179;211.500;0.598;0.361;0.042;5.158;84.333;14.247;3.420;0.000;0.000;0.000;1.000;2.950;120.170;18.010;25.380;2538.000;0.741;0.000;16.488;1.056;5.201;1.120;14.200;0.429;0.294;11.000;29.000;34.000;47.000;40.000;2.792;1.288;11;16270;40;47;25;6
80140;Noljakka;80140;1.000;5.160;11.830;29.334;3.404;18.000;2.000;0.056;1.830;15.815;20.000;0.199;73.150;0.599;0.374;0.027;7.261;78.779;13.619;37.990;1.182;10.722;0.000;1.000;5.160;117.930;20.760;26.390;951.000;0.766;46.668;15.910;1.830;4.654;0.901;14.484;1.419;1.839;20.000;25.000;19.000;45.000;36.000;1.890;0.483;20;14716;36;45;34;5
80160;Rantakyl?;80160;1.000;3.270;0.220;39.790;3.362;10.000;2.000;0.038;0.311;15.933;16.000;0.126;188.000;0.672;0.310;0.018;4.729;82.935;13.787;-4.810;0.000;0.000;0.000;1.000;3.270;125.160;17.170;25.810;1128.000;0.756;6.727;15.795;0.311;4.578;1.252;14.420;1.746;2.375;21.000;22.000;39.000;33.000;29.000;2.165;0.573;21;13922;29;33;35;5
80170;Utra;80170;0.000;4.330;0.010;53.302;3.360;13.000;1.000;0.066;0.873;15.928;15.000;0.190;20.130;0.667;0.318;0.015;6.208;84.000;13.720;4.290;0.103;0.000;0.000;0.000;4.330;126.210;19.520;26.870;161.000;0.779;22.049;15.659;0.873;4.551;1.105;14.429;0.872;1.257;22.000;22.000;19.000;46.000;43.000;0.744;0.082;22;15837;43;46;30;5
80200;Niinivaara;80200;1.000;2.260;0.220;19.819;3.366;17.000;1.000;0.000;0.043;16.104;22.000;0.210;633.500;0.569;0.423;0.008;1.025;82.772;14.192;10.980;2.500;0.000;0.000;1.000;2.260;124.000;19.500;21.640;1267.000;0.695;6.119;16.478;0.043;5.120;1.471;14.229;0.682;0.580;13.000;21.000;52.000;46.000;32.000;1.126;0.643;13;14995;32;46;34;6
80220;Penttil?;80220;1.000;2.100;6.522;31.728;3.374;12.000;0.000;0.151;2.315;15.925;27.000;0.248;35.250;0.590;0.384;0.026;4.055;75.613;13.677;-4.510;2.500;0.000;0.000;1.000;2.100;118.000;0.000;0.000;705.000;0.954;83.028;15.874;2.315;4.898;0.682;14.277;0.330;0.433;20.000;37.000;33.000;40.000;22.000;0.646;0.358;20;12844;22;40;39;4
80230;Hukanhauta;80230;0.000;4.160;3.211;46.577;3.366;17.000;1.000;0.292;0.310;15.912;14.000;0.142;18.300;0.597;0.377;0.026;2.500;84.231;13.646;-5.910;0.541;0.573;0.000;0.000;4.160;125.240;21.400;19.720;366.000;0.697;15.313;15.854;0.310;4.898;1.198;14.299;0.931;0.714;12.000;23.000;35.000;44.000;40.000;1.107;0.186;12;19513;40;44;17;5
80260;Kettuvaara;80260;1.000;3.980;1.442;56.999;3.366;13.000;1.000;0.112;1.029;15.912;13.000;0.130;22.760;0.633;0.351;0.016;1.483;81.694;13.652;-1.440;18.000;0.000;0.000;1.000;3.980;125.710;21.220;22.470;478.000;0.719;6.670;15.634;1.029;4.480;1.087;14.470;0.991;0.891;14.000;21.000;31.000;36.000;36.000;1.185;0.243;14;17469;36;36;22;6
80330;Reijola;80330;0.000;9.480;1.075;47.410;3.356;13.000;0.000;0.645;1.407;15.939;12.000;0.146;9.810;0.605;0.338;0.056;7.911;80.071;13.714;-2.840;0.571;0.000;0.000;0.000;9.480;129.280;26.720;13.770;265.000;0.742;37.210;15.905;1.407;5.337;0.759;14.203;0.370;0.259;11.000;17.000;32.000;54.000;50.000;0.891;0.135;11;18801;50;54;17;8
80400;Yl?mylly;80400;1.000;14.360;2.017;52.171;3.404;11.000;1.000;1.531;1.081;15.036;11.000;0.177;10.590;0.598;0.305;0.097;16.910;88.292;13.142;10.190;0.352;0.717;0.000;1.000;14.360;108.540;13.580;34.100;1165.000;0.811;40.444;15.312;1.081;4.892;0.909;14.420;0.781;0.587;12.000;15.000;31.000;38.000;43.000;2.184;0.591;12;18633;43;38;21;7
80510;Onttola-Kunnasniemi;80510;0.000;7.900;0.641;67.026;3.380;14.000;0.000;0.609;0.711;15.143;8.000;0.251;2.300;0.544;0.355;0.101;10.299;97.137;13.502;-1.280;0.326;0.113;0.000;0.000;7.900;104.000;0.000;0.000;228.000;0.954;42.414;15.781;0.711;4.892;1.150;14.344;0.193;0.127;10.000;14.000;30.000;49.000;50.000;0.372;0.116;10;20473;50;49;11;10
80710;Lehmo;80710;1.000;7.570;1.196;63.764;3.358;14.000;1.000;0.188;3.593;15.862;11.000;0.463;28.830;0.690;0.280;0.030;8.943;99.039;13.909;37.070;1.091;0.000;0.002;1.000;7.570;127.000;10.900;27.190;1701.000;0.798;20.756;15.764;3.593;4.692;0.275;14.255;0.819;0.478;9.000;15.000;23.000;45.000;58.000;1.577;0.864;9;20714;58;45;12;7
80770;Kontiolahti Asemanseutu;80770;0.000;19.200;1.672;54.512;3.329;12.000;0.000;1.591;2.070;14.987;8.000;0.205;0.920;0.605;0.358;0.037;21.174;91.467;13.002;-2.460;0.823;0.743;0.062;0.000;19.200;136.660;1.250;27.070;47.000;0.638;82.728;15.454;2.070;4.350;0.631;14.399;0.089;0.072;13.000;15.000;38.000;45.000;46.000;0.353;0.024;13;17725;46;45;13;10
